GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tourguide,com.openclassrooms.tourguide.helper,InternalTestHelper,3,8,0,0,1,4,1,3,1,3
tourguide,com.openclassrooms.tourguide.service,TourGuideService,51,382,4,8,11,85,6,25,2,23
tourguide,com.openclassrooms.tourguide.service,TourGuideService.new Thread() {...},0,11,0,0,0,3,0,2,0,2
tourguide,com.openclassrooms.tourguide.service,RewardsService,7,207,1,11,2,41,2,16,1,11
tourguide,com.openclassrooms.tourguide.modules,TourGuideModule,0,19,0,0,0,4,0,4,0,4
tourguide,com.openclassrooms.tourguide.user,UserPreferences,35,18,0,0,15,7,10,1,10,1
tourguide,com.openclassrooms.tourguide.user,User,39,84,0,2,17,20,11,10,11,9
tourguide,com.openclassrooms.tourguide.user,UserReward,16,12,0,0,7,5,3,1,3,1
tourguide,com.openclassrooms.tourguide.tracker,Tracker,5,90,1,3,3,26,1,6,0,5
tourguide,com.openclassrooms.tourguide,TourguideApplication,5,3,0,0,2,1,1,1,1,1
tourguide,com.openclassrooms.tourguide.exceptions,InterruptedRewardCalculationException,5,0,0,0,2,0,1,0,1,0
tourguide,com.openclassrooms.tourguide.exceptions,GlobalExceptionHandler,20,7,0,0,4,2,2,2,2,2
tourguide,com.openclassrooms.tourguide.dto,NearbyAttractionDTO,210,18,34,0,7,1,32,1,15,1
tourguide,com.openclassrooms.tourguide.controller,TourGuideController,57,3,0,0,8,1,6,1,6,1
